"","FY","VendorSize","Place","Area","CrisisFunding","Amount","Actions"
"1",2000,"Big Five","Domestic","Products","Disaster",0.0186423872060811,35
"2",2000,"Big Five","Domestic","Products","Residual",36.7338427792105,NA
"3",2000,"Big Five","Domestic","Services","Disaster",0.17599495395837,102
"4",2000,"Big Five","Domestic","Services","Residual",13.15466751672,NA
"5",2000,"Big Five","Domestic","R&D","Disaster",0.618416720235437,50
"6",2000,"Big Five","Domestic","R&D","Residual",15.8237326120523,NA
"7",2000,"Big Five","Regional Support","Products","Residual",0.00131032327171072,5
"8",2000,"Big Five","Regional Support","Services","Residual",0.00595800348854393,13
"9",2000,"Big Five","Regional Support","R&D","Residual",-0.00173400250866882,1
"10",2000,"Big Five","Rest of World","Products","Residual",0.057376066370447,71
"11",2000,"Big Five","Rest of World","Services","Residual",0.967766987483996,371
"12",2000,"Big Five","Rest of World","R&D","Residual",0.158014312048869,15
"13",2000,"Large","Domestic","Products","Disaster",0.0178503128937473,42
"14",2000,"Large","Domestic","Products","Residual",30.9004040656017,NA
"15",2000,"Large","Domestic","Services","Disaster",0.904305675688598,NA
"16",2000,"Large","Domestic","Services","Residual",32.4061870235484,NA
"17",2000,"Large","Domestic","R&D","Disaster",0.0743021226342256,10
"18",2000,"Large","Domestic","R&D","Residual",20.7163795010868,NA
"19",2000,"Large","Regional Support","Products","Residual",0.120479164320879,23
"20",2000,"Large","Regional Support","Services","Residual",0.0575571642052503,16
"21",2000,"Large","Regional Support","R&D","Residual",0.00023761660617192,5
"22",2000,"Large","Rest of World","Products","Residual",1.76408745086251,1014
"23",2000,"Large","Rest of World","Services","Residual",2.56226751969306,2145
"24",2000,"Large","Rest of World","R&D","Residual",0.0807825214289452,63
"25",2000,"Medium","Domestic","Products","Disaster",0.00104278610545122,7
"26",2000,"Medium","Domestic","Products","Residual",21.9202783380875,NA
"27",2000,"Medium","Domestic","Services","Disaster",0.188418074824325,NA
"28",2000,"Medium","Domestic","Services","Residual",41.3097312305005,NA
"29",2000,"Medium","Domestic","R&D","Residual",11.1339821564039,NA
"30",2000,"Medium","Regional Support","Products","Residual",0.033733620506529,128
"31",2000,"Medium","Regional Support","Services","Residual",0.249638553766277,421
"32",2000,"Medium","Regional Support","R&D","Residual",0.00228781100429149,5
"33",2000,"Medium","Rest of World","Products","Residual",1.86576987130496,4013
"34",2000,"Medium","Rest of World","Services","Residual",4.33724745871979,11236
"35",2000,"Medium","Rest of World","R&D","Residual",0.186843553381586,226
"36",2000,"Small","Domestic","Products","Disaster",0.00118722990162534,16
"37",2000,"Small","Domestic","Products","Residual",13.564261285918,NA
"38",2000,"Small","Domestic","Services","Disaster",0.0136610488393279,54
"39",2000,"Small","Domestic","Services","Residual",30.9340340148979,NA
"40",2000,"Small","Domestic","R&D","Residual",3.76300116201889,NA
"41",2000,"Small","Regional Support","Products","Residual",0.000114907491042459,2
"42",2000,"Small","Regional Support","Services","Residual",0.000840158895500218,10
"43",2000,"Small","Rest of World","Products","Residual",0.0436483320949619,428
"44",2000,"Small","Rest of World","Services","Residual",0.0563403232144331,351
"45",2000,"Small","Rest of World","R&D","Residual",0.000116524968582545,1
"46",2001,"Big Five","Domestic","Products","Disaster",-0.0108770949214954,32
"47",2001,"Big Five","Domestic","Products","Residual",39.9784119881061,NA
"48",2001,"Big Five","Domestic","Services","Disaster",0.309114302664722,546
"49",2001,"Big Five","Domestic","Services","Residual",13.1236939966312,NA
"50",2001,"Big Five","Domestic","R&D","Disaster",0.780939092559513,40
"51",2001,"Big Five","Domestic","R&D","Residual",17.7201642075004,NA
"52",2001,"Big Five","Regional Support","Products","Residual",0.000810656238384816,2
"53",2001,"Big Five","Regional Support","Services","Residual",0.0156300062244888,26
"54",2001,"Big Five","Rest of World","Products","Residual",0.0863836552246592,111
"55",2001,"Big Five","Rest of World","Services","Residual",0.425740919467923,700
"56",2001,"Big Five","Rest of World","R&D","Residual",0.244636376766538,16
"57",2001,"Large","Domestic","Products","Disaster",0.0106186604148858,28
"58",2001,"Large","Domestic","Products","Residual",27.6525067740462,NA
"59",2001,"Large","Domestic","Services","Disaster",1.45729076253163,271
"60",2001,"Large","Domestic","Services","Residual",38.997641826903,NA
"61",2001,"Large","Domestic","R&D","Disaster",0.0768866747164831,16
"62",2001,"Large","Domestic","R&D","Residual",20.992604263633,NA
"63",2001,"Large","Regional Support","Products","Residual",0.21446098993827,14
"64",2001,"Large","Regional Support","Services","Residual",0.0264716146691489,29
"65",2001,"Large","Regional Support","R&D","Residual",0.000106559411441953,1
"66",2001,"Large","Rest of World","Products","Residual",1.13886359001007,1141
"67",2001,"Large","Rest of World","Services","Residual",2.0369960849357,2276
"68",2001,"Large","Rest of World","R&D","Residual",0.098218083011469,67
"69",2001,"Medium","Afghanistan","Products","Residual",4.72882805724476e-05,1
"70",2001,"Medium","Afghanistan","Services","Residual",6.35014053401439e-05,1
"71",2001,"Medium","Domestic","Products","Disaster",0.00131996723327484,13
"72",2001,"Medium","Domestic","Products","Residual",22.8157984684542,NA
"73",2001,"Medium","Domestic","Services","Disaster",0.442294285508533,NA
"74",2001,"Medium","Domestic","Services","Residual",44.6841162643988,NA
"75",2001,"Medium","Domestic","R&D","Residual",11.1808173736737,NA
"76",2001,"Medium","Regional Support","Products","Residual",0.0377702205971267,149
"77",2001,"Medium","Regional Support","Services","Residual",0.197952190751196,384
"78",2001,"Medium","Rest of World","Products","Residual",1.71333253035131,4592
"79",2001,"Medium","Rest of World","Services","Residual",4.80253076278293,12708
"80",2001,"Medium","Rest of World","R&D","Residual",0.156231168624469,284
"81",2001,"Small","Afghanistan","Products","Residual",6.48524990707853e-05,1
"82",2001,"Small","Domestic","Products","Disaster",0.000997235527117735,11
"83",2001,"Small","Domestic","Products","Residual",14.7166541522556,NA
"84",2001,"Small","Domestic","Services","Disaster",0.0103708171320306,NA
"85",2001,"Small","Domestic","Services","Residual",32.6608016910424,NA
"86",2001,"Small","Domestic","R&D","Residual",3.83911976273173,NA
"87",2001,"Small","Regional Support","Products","Residual",0.00129975216887699,4
"88",2001,"Small","Regional Support","Services","Residual",0.000272920933589555,4
"89",2001,"Small","Rest of World","Products","Residual",0.103203530124188,817
"90",2001,"Small","Rest of World","Services","Residual",0.0883406106078962,465
"91",2001,"Small","Rest of World","R&D","Residual",0.000737697176930183,5
"92",2002,"Big Five","Afghanistan","Products","Residual",0.00109748508985966,4
"93",2002,"Big Five","Afghanistan","Services","Residual",0.00380132630880537,3
"94",2002,"Big Five","Domestic","Products","Disaster",0.0178369030229971,3
"95",2002,"Big Five","Domestic","Products","Residual",49.6030117637767,NA
"96",2002,"Big Five","Domestic","Services","Disaster",0.728897247408586,730
"97",2002,"Big Five","Domestic","Services","Residual",17.8324023058635,NA
"98",2002,"Big Five","Domestic","R&D","Disaster",0.00474010948932626,9
