"Account","Budget.Activity","Budget.Activity.Title","BSA","BSA.Title","Line.Item","Line.Item.Title","Cost.Type","Cost.Type.Title","Classification","FiscalYear","PB","App","Actual","OCO.PB","Base.PB","OCO.App","Base.App","Quant.PB","Quant.App","Quant.Actual","Quant.OCO.PB","Quant.Base.PB","Quant.OCO.App","Quant.Base.App"
"0300D","01","Major Equipment","01","Major Equipment, OSD","30","Major Equipment, OSD","A","Weapon System Cost","U",2015,NA,NA,37590,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA
"0300D","01","Major Equipment","01","Major Equipment, OSD","30","Major Equipment, OSD","A","Weapon System Cost","U",2016,NA,17,NA,NA,NA,0,44439,NA,44439,NA,NA,NA,0,17
"0300D","01","Major Equipment","01","Major Equipment, OSD","30","Major Equipment, OSD","A","Weapon System Cost","U",2017,29211,NA,NA,0,29211,NA,NA,39,NA,NA,0,39,NA,NA
"0300D","01","Major Equipment","01","Major Equipment, WHS","50","Indian Financing Act","A","Weapon System Cost","U",2015,NA,NA,15000,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"0300D","01","Major Equipment","01","Major Equipment, WHS","50","Indian Financing Act","A","Weapon System Cost","U",2016,NA,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,0,0
"0300D","01","Major Equipment","01","Major Equipment, WHS","50","Indian Financing Act","A","Weapon System Cost","U",2017,0,NA,NA,0,0,NA,NA,0,NA,NA,0,0,NA,NA
"0300D","01","Major Equipment","02","Major Equipment, NSA","60","Information Systems Security Program (ISSP)","A","Weapon System Cost","U",2015,NA,NA,23448,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"0300D","01","Major Equipment","02","Major Equipment, NSA","60","Information Systems Security Program (ISSP)","A","Weapon System Cost","U",2016,NA,0,NA,NA,NA,0,37177,NA,37177,NA,NA,NA,0,0
"0300D","01","Major Equipment","02","Major Equipment, NSA","60","Information Systems Security Program (ISSP)","A","Weapon System Cost","U",2017,4399,NA,NA,0,4399,NA,NA,0,NA,NA,0,0,NA,NA
"0300D","01","Major Equipment","04","Major Equipment, WHS","31","Major Equipment, WHS","A","Weapon System Cost","U",2015,NA,NA,29599,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"0300D","01","Major Equipment","04","Major Equipment, WHS","31","Major Equipment, WHS","A","Weapon System Cost","U",2016,NA,0,NA,NA,NA,0,27859,NA,27859,NA,NA,NA,0,0
"0300D","01","Major Equipment","04","Major Equipment, WHS","31","Major Equipment, WHS","A","Weapon System Cost","U",2017,24979,NA,NA,0,24979,NA,NA,0,NA,NA,0,0,NA,NA
"0300D","01","Major Equipment","05","Major Equipment, DISA","09","Information Systems Security","A","Weapon System Cost","U",2015,NA,NA,10480,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"0300D","01","Major Equipment","05","Major Equipment, DISA","09","Information Systems Security","A","Weapon System Cost","U",2016,NA,0,NA,NA,NA,0,15080,NA,15080,NA,NA,NA,0,0
"0300D","01","Major Equipment","05","Major Equipment, DISA","09","Information Systems Security","A","Weapon System Cost","U",2017,21347,NA,NA,0,21347,NA,NA,0,NA,NA,0,0,NA,NA
"0300D","01","Major Equipment","05","Major Equipment, DISA","14","Teleport Program","A","Weapon System Cost","U",2015,NA,NA,84862,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"0300D","01","Major Equipment","05","Major Equipment, DISA","14","Teleport Program","A","Weapon System Cost","U",2016,NA,0,NA,NA,NA,1940,62789,NA,64729,NA,NA,NA,0,0
"0300D","01","Major Equipment","05","Major Equipment, DISA","14","Teleport Program","A","Weapon System Cost","U",2017,54497,NA,NA,3900,50597,NA,NA,0,NA,NA,0,0,NA,NA
"0300D","01","Major Equipment","05","Major Equipment, DISA","16","Items Less Than $5 Million","A","Weapon System Cost","U",2015,NA,NA,14632,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"0300D","01","Major Equipment","05","Major Equipment, DISA","16","Items Less Than $5 Million","A","Weapon System Cost","U",2016,NA,0,NA,NA,NA,0,9399,NA,9399,NA,NA,NA,0,0
"0300D","01","Major Equipment","05","Major Equipment, DISA","16","Items Less Than $5 Million","A","Weapon System Cost","U",2017,10420,NA,NA,0,10420,NA,NA,0,NA,NA,0,0,NA,NA
"0300D","01","Major Equipment","05","Major Equipment, DISA","17","Net Centric Enterprise Services (NCES)","A","Weapon System Cost","U",2015,NA,NA,1921,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
"0300D","01","Major Equipment","05","Major Equipment, DISA","17","Net Centric Enterprise Services (NCES)","A","Weapon System Cost","U",2016,NA,0,NA,NA,NA,0,1819,NA,1819,NA,NA,NA,0,0
