"Account","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineItem","LineItemTitle","CostType","CostTypeTitle","AddOrNonAdd","Classified","FiscalYear","Actual","App","Base_App","Base_PB","OCO_App","OCO_PB","PB","Quant_Actual","Quant_App","Quant_Base_App","Quant_Base_PB","Quant_OCO_App","Quant_OCO_PB","Quant_PB"
"2031A","01","Aircraft","10","Fixed Wing","9440A11300","Utility F/W Aircraft","A","Weapon System Cost","Add","U",2015,10787,,,,,,,1,,,,,,
"2031A","01","Aircraft","10","Fixed Wing","9662A02005","Aerial Common Sensor (ACS) (MIP)","A","Weapon System Cost","Add","U",2015,165890,,,,,,,18,,,,,,
"2031A","01","Aircraft","10","Fixed Wing","9670A00005","MQ-1 UAV","A","Weapon System Cost","Add","U",2015,238081,,,,,,,19,,,,,,
"2031A","01","Aircraft","10","Fixed Wing","9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","Add","U",2015,3964,,,,,,,0,,,,,,
"2031A","01","Aircraft","20","Rotary","4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost","Add","U",2015,401617,,,,,,,55,,,,,,
"2031A","01","Aircraft","20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost","Add","U",2015,1116940,,,,,,,48,,,,,,
"2031A","01","Aircraft","20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)","Add","U",2015,-150931,,,,,,,0,,,,,,
"2031A","01","Aircraft","20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)","Add","U",2015,157338,,,,,,,0,,,,,,
"2031A","01","Aircraft","20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","C","C (FY 2015 for FY 2016) (M)","Non-Add","U",2015,157338,,,,,,,0,,,,,,
"2031A","01","Aircraft","20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","C","C (FY 2016 for FY 2017) (M)","Non-Add","U",2015,0,,,,,,,0,,,,,,
