"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","BSA","BSAtitle","LineItem","LineItemTitle","CostType","CostTypeTitle","AddOrNonAdd","Classified","Category","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","QuantPBtotal","QuantPBtype","QuantEnactedTotal","QuantEnactedType","QuantSpecialTotal","QuantActualTotal"
,2017,"2031A",,,,,"01","Aircraft",,"10","Fixed Wing","9440A11300","Utility F/W Aircraft","A","Weapon System Cost",,"U",,2015,"Total",,,,,,10787,,,,,,1
,2017,"2031A",,,,,"01","Aircraft",,"10","Fixed Wing","9662A02005","Aerial Common Sensor (ACS) (MIP)","A","Weapon System Cost",,"U",,2015,"Total",,,,,,165890,,,,,,18
,2017,"2031A",,,,,"01","Aircraft",,"10","Fixed Wing","9670A00005","MQ-1 UAV","A","Weapon System Cost",,"U",,2015,"Total",,,,,,238081,,,,,,19
,2017,"2031A",,,,,"01","Aircraft",,"10","Fixed Wing","9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost",,"U",,2015,"Total",,,,,,3964,,,,,,0
,2017,"2031A",,,,,"01","Aircraft",,"20","Rotary","4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost",,"U",,2015,"Total",,,,,,401617,,,,,,55
,2017,"2031A",,,,,"01","Aircraft",,"20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost",,"U",,2015,"Total",,,,,,1116940,,,,,,48
,2017,"2031A",,,,,"01","Aircraft",,"20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)",,"U",,2015,"Total",,,,,,-150931,,,,,,0
,2017,"2031A",,,,,"01","Aircraft",,"20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)",,"U",,2015,"Total",,,,,,157338,,,,,,0
,2017,"2031A",,,,,"01","Aircraft",,"20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","C","C (FY 2015 for FY 2016) (M)",,"U",,2015,"Total",,,,,,157338,,,,,,0
,2017,"2031A",,,,,"01","Aircraft",,"20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","C","C (FY 2016 for FY 2017) (M)",,"U",,2015,"Total",,,,,,0,,,,,,0
