"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","BSA","BSAtitle","LineItem","LineItemTitle","CostType","CostTypeTitle","AddOrNonAdd","Classified","Category","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal","QuantPBtotal","QuantPBtype","QuantEnactedTotal","QuantEnactedType","QuantSpecialTotal","QuantActualTotal"
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","1  ","10","Fixed Wing","1301A11301","Saturn Arch (MIP)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,64000,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","2  ","10","Fixed Wing","9440A11300","Utility F/W Aircraft","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,18052,,,,,,2
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","3  ","10","Fixed Wing","9662A02005","Aerial Common Sensor (ACS) (MIP)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,54700,,,,,,4
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","4  ","10","Fixed Wing","9670A00005","MQ-1 UAV","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,500547,,,,,,15
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","5  ","10","Fixed Wing","9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,10372,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","6  ","20","Rotary","4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,256434,,,,,,37
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","7  ","20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,715511,,,,,,42
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","7  ","20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)","Add","U",,2014,"Total",,,,,,-113842,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","8  ","20","Rotary","5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)","Add","U",,2014,"Total",,,,,,150931,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","9  ","20","Rotary","5840A05133","AH-64 Apache Block IIIB New Build","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,298999,,,,,,4
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","9  ","20","Rotary","5840A05133","AH-64 Apache Block IIIB New Build","B","Less: Advance Procurement (PY)","Add","U",,2014,"Total",,,,,,-156999,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","10 ","20","Rotary","6337A02345","Kiowa Warrior WRA","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,9
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","11 ","20","Rotary","6771AA0005","UH-60 Blackhawk M Model (MYP)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,1212916,,,,,,70
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","11 ","20","Rotary","6771AA0005","UH-60 Blackhawk M Model (MYP)","B","Less: Advance Procurement (PY)","Add","U",,2014,"Total",,,,,,-99940,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","12 ","20","Rotary","6771AA0005","UH-60 Blackhawk M Model (MYP)","C","Advance Procurement (CY)","Add","U",,2014,"Total",,,,,,116001,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","13 ","20","Rotary","6773A05009","UH-60 Black Hawk A and L Models","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","14 ","20","Rotary","6775A05101","CH-47 Helicopter","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,915791,,,,,,39
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","14 ","20","Rotary","6775A05101","CH-47 Helicopter","B","Less: Advance Procurement (PY)","Add","U",,2014,"Total",,,,,,-77141,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","01","Aircraft","15 ","20","Rotary","6775A05101","CH-47 Helicopter","C","Advance Procurement (CY)","Add","U",,2014,"Total",,,,,,90376,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","16 ","10","Modification of Aircraft","0023A01001","MQ-1 Payload (MIP)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","17 ","10","Modification of Aircraft","0420A00020","MQ-1 Payload - UAS","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,97781,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","18 ","10","Modification of Aircraft","1032AZ2000","Guardrail Mods (MIP)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,10262,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","19 ","10","Modification of Aircraft","1036AZ2001","Multi Sensor ABN Recon (MIP)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,10467,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","20 ","10","Modification of Aircraft","2706AA6605","AH-64 Mods","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,48487,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","21 ","10","Modification of Aircraft","3264AA0252","CH-47 Cargo Helicopter Mods (MYP)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,91064,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","22 ","10","Modification of Aircraft","3403A02111","GRCS SEMA Mods (MIP)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
,2016,"2031A",,,"Aircraft Procurement, Army","ARMY","02","Modification of Aircraft","23 ","10","Modification of Aircraft","3404A02110","ARL SEMA Mods (MIP)","A","Weapon System Cost","Add","U",,2014,"Total",,,,,,0,,,,,,0
