"ID","SourceFiscalYear","AccountDSI","TreasuryAgencyCode","MainAccountCode","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","LineNumber","ProgramElement","ProgramElementTitle","IncludeInTOA","Classified","FiscalYear","OriginType","PBtotal","PBtype","EnactedTotal","EnactedType","SpecialType","ActualTotal"
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","01","Basic Research",1,"0601101A","In-House Laboratory Independent Research","Y","U",2015,"Total",,,,,,13125
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","01","Basic Research",2,"0601102A","Defense Research Sciences","Y","U",2015,"Total",,,,,,249855
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","01","Basic Research",3,"0601103A","University Research Initiatives","Y","U",2015,"Total",,,,,,79122
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","01","Basic Research",4,"0601104A","University and Industry Research Centers","Y","U",2015,"Total",,,,,,105766
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",5,"0602105A","Materials Technology","Y","U",2015,"Total",,,,,,45563
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",6,"0602120A","Sensors and Electronic Survivability","Y","U",2015,"Total",,,,,,45792
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",7,"0602122A","TRACTOR HIP","Y","U",2015,"Total",,,,,,16358
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",8,"0602211A","Aviation Technology","Y","U",2015,"Total",,,,,,62046
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",9,"0602270A","Electronic Warfare Technology","Y","U",2015,"Total",,,,,,19333
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",10,"0602303A","Missile Technology","Y","U",2015,"Total",,,,,,61144
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",11,"0602307A","Advanced Weapons Technology","Y","U",2015,"Total",,,,,,37464
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",12,"0602308A","Advanced Concepts and Simulation","Y","U",2015,"Total",,,,,,26505
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",13,"0602601A","Combat Vehicle and Automotive Technology","Y","U",2015,"Total",,,,,,71811
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",14,"0602618A","Ballistics Technology","Y","U",2015,"Total",,,,,,83610
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",15,"0602622A","Chemical, Smoke and Equipment Defeating Technology","Y","U",2015,"Total",,,,,,3865
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",16,"0602623A","Joint Service Small Arms Program","Y","U",2015,"Total",,,,,,6633
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",17,"0602624A","Weapons and Munitions Technology","Y","U",2015,"Total",,,,,,62131
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",18,"0602705A","Electronics and Electronic Devices","Y","U",2015,"Total",,,,,,72442
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",19,"0602709A","Night Vision Technology","Y","U",2015,"Total",,,,,,44694
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",20,"0602712A","Countermine Systems","Y","U",2015,"Total",,,,,,28597
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",21,"0602716A","Human Factors Engineering Technology","Y","U",2015,"Total",,,,,,23434
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",22,"0602720A","Environmental Quality Technology","Y","U",2015,"Total",,,,,,15288
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",23,"0602782A","Command, Control, Communications Technology","Y","U",2015,"Total",,,,,,33117
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",24,"0602783A","Computer and Software Technology","Y","U",2015,"Total",,,,,,10514
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",25,"0602784A","Military Engineering Technology","Y","U",2015,"Total",,,,,,66582
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",26,"0602785A","Manpower/Personnel/Training Technology","Y","U",2015,"Total",,,,,,21280
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",27,"0602786A","Warfighter Technology","Y","U",2015,"Total",,,,,,31597
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","02","Applied Research",28,"0602787A","Medical Technology","Y","U",2015,"Total",,,,,,74285
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",29,"0603001A","Warfighter Advanced Technology","Y","U",2015,"Total",,,,,,75833
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",30,"0603002A","Medical Advanced Technology","Y","U",2015,"Total",,,,,,104997
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",31,"0603003A","Aviation Advanced Technology","Y","U",2015,"Total",,,,,,99762
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",32,"0603004A","Weapons and Munitions Advanced Technology","Y","U",2015,"Total",,,,,,72176
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",33,"0603005A","Combat Vehicle and Automotive Advanced Technology","Y","U",2015,"Total",,,,,,143606
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",34,"0603006A","Space Application Advanced Technology","Y","U",2015,"Total",,,,,,6664
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",35,"0603007A","Manpower, Personnel and Training Advanced Technology","Y","U",2015,"Total",,,,,,11677
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",36,"0603008A","Electronic Warfare Advanced Technology","Y","U",2015,"Total",,,,,,43416
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",37,"0603009A","TRACTOR HIKE","Y","U",2015,"Total",,,,,,7492
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",38,"0603015A","Next Generation Training & Simulation Systems","Y","U",2015,"Total",,,,,,16103
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",39,"0603020A","TRACTOR ROSE","Y","U",2015,"Total",,,,,,14483
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",40,"0603125A","Combating Terrorism - Technology Development","Y","U",2015,"Total",,,,,,23334
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",41,"0603130A","TRACTOR NAIL","Y","U",2015,"Total",,,,,,3440
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",42,"0603131A","TRACTOR EGGS","Y","U",2015,"Total",,,,,,2406
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",43,"0603270A","Electronic Warfare Technology","Y","U",2015,"Total",,,,,,27238
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",44,"0603313A","Missile and Rocket Advanced Technology","Y","U",2015,"Total",,,,,,78302
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",45,"0603322A","TRACTOR CAGE","Y","U",2015,"Total",,,,,,11105
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",46,"0603461A","High Performance Computing Modernization Program","Y","U",2015,"Total",,,,,,214614
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",47,"0603606A","Landmine Warfare and Barrier Advanced Technology","Y","U",2015,"Total",,,,,,12795
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",48,"0603607A","Joint Service Small Arms Program","Y","U",2015,"Total",,,,,,7055
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",49,"0603710A","Night Vision Advanced Technology","Y","U",2015,"Total",,,,,,46056
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",50,"0603728A","Environmental Quality Technology Demonstrations","Y","U",2015,"Total",,,,,,11311
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",51,"0603734A","Military Engineering Advanced Technology","Y","U",2015,"Total",,,,,,17124
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",52,"0603772A","Advanced Tactical Computer Science and Sensor Technology","Y","U",2015,"Total",,,,,,38098
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","03","Advanced Technology Development",53,"0603794A","C3 Advanced Technology","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",54,"0603305A","Army Missle Defense Systems Integration","Y","U",2015,"Total",,,,,,25672
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",55,"0603308A","Army Space Systems Integration","Y","U",2015,"Total",,,,,,13804
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",56,"0603619A","Landmine Warfare and Barrier - Adv Dev","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",57,"0603627A","Smoke, Obscurant and Target Defeating Sys-Adv Dev","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",58,"0603639A","Tank and Medium Caliber Ammunition","Y","U",2015,"Total",,,,,,25317
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",59,"0603747A","Soldier Support and Survivability","Y","U",2015,"Total",,,,,,8633
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",60,"0603766A","Tactical Electronic Surveillance System - Adv Dev","Y","U",2015,"Total",,,,,,9255
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",61,"0603774A","Night Vision Systems Advanced Development","Y","U",2015,"Total",,,,,,3521
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",62,"0603779A","Environmental Quality Technology - Dem/Val","Y","U",2015,"Total",,,,,,7529
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",63,"0603790A","NATO Research and Development","Y","U",2015,"Total",,,,,,2839
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",64,"0603801A","Aviation - Adv Dev","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",65,"0603804A","Logistics and Engineer Equipment - Adv Dev","Y","U",2015,"Total",,,,,,13188
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",66,"0603807A","Medical Systems - Adv Dev","Y","U",2015,"Total",,,,,,22825
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",67,"0603827A","Soldier Systems - Advanced Development","Y","U",2015,"Total",,,,,,9194
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",68,"0604100A","Analysis Of Alternatives","Y","U",2015,"Total",,,,,,9685
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",69,"0604114A","Lower Tier Air Missile Defense (LTAMD) Sensor","Y","U",2015,"Total",,,,,,0
,2017,"2040A",,,"Research, Development, Test & Eval, Army","ARMY","04","Advanced Component Development & Prototypes",70,"0604115A","Technology Maturation Initiatives","Y","U",2015,"Total",,,,,,43083
