"ID","ProgramElement","ProgramElementTitle","BudgetActivity","BudgetActivityTitle","Account","Classified","FiscalYear","PB","App","Actual","CR","CR_OCO","OCO_PB","OCO_App","OCO_Sup"
4050,"0207131F","A-10 Squadrons",5,,3600,,1999,,,0,,,,,
4051,"0207131F","A-10 Squadrons",7,"Operational Systems Development",3600,,1999,,,2170,,,,,
4052,"0604261N","Acoustic Search Sensors",5,"System Development & Demonstration",1319,,1999,,,27905,,,,,
4053,"0702806F","Acquisition and Management Support",7,,3600,,1999,,,0,,,,,
4054,"0702806F","Acquisition and Management Support",6,"Management Support",3600,,1999,,,0,,,,,
4055,"0605019D8Z","Acquisition Domain",5,,400,,1999,,,0,,,,,
4056,"0602905F","Adaptive Versatile Engine Technology (ADVENT)",2,"Applied Research",3605,,1999,,,0,,,,,
4057,"0203726A","Adv Field Artillery Tactical Data System",7,"Operational Systems Development",2040,,1999,,,34569,,,,,
4058,"0604501N","Advanced Above Water Sensors",5,"System Development & Demonstration",1319,,1999,,,0,,,,,
4059,"0603203F","Advanced Aerospace Sensors",3,"Advanced Technology Development",3600,,1999,,,26260,,,,,
4060,"0603285E","Advanced Aerospace Systems",3,,400,,1999,,,0,,,,,
4061,"0603286E","Advanced Aerospace Systems",3,"Advanced Technology Development",400,,1999,,,0,,,,,
4062,"0603382N","Advanced Combat Systems Technology",4,"Advanced Component Development & Prototypes",1319,,1999,,,6438,,,,,
4063,"0207423F","Advanced Communications Systems",3,,3600,,1999,,,0,,,,,
4064,"0207423F","Advanced Communications Systems",4,,3600,,1999,,,0,,,,,
4065,"0207423F","Advanced Communications Systems",7,"Operational Systems Development",3600,,1999,,,5527,,,,,
4066,"0603750D8Z","Advanced Concept Technology Demonstrations",3,"Advanced Technology Development (ATD)",400,,1999,,,80281,,,,,
4067,"0603879C","Advanced Concepts, Evaluations And Systems",4,,400,,1999,,,0,,,,,
4068,"0101120F","Advanced Cruise Missile",7,,3600,,1999,,,0,,,,,
4069,"0603660N","Advanced Development Projects",7,,1319,,1999,,,231946,,,,,
4070,"0604756N","Ship Self Defense (Engage: Hard Kill)",5,"System Development & Demonstration",1319,,1999,,,0,,,,,
4071,"0603430F","Advanced EHF MILSATCOM (SPACE)",4,"Advanced Component Development & Prototypes",3600,,1999,,,54623,,,,,
4072,"0603270N","Advanced Electronic Warfare Technology",3,,1319,,1999,,,20818,,,,,
4073,"0603739E","Advanced Electronics Technologies",3,"Advanced Technology Development",400,,1999,,,260296,,,,,
4074,"0304348F","Advanced Geospatial Intelligence (AGI)",7,,3600,"Classified (Named)",1999,,,0,,,,,
4075,"0634210N","Advanced High Energy HVAC System",4,"Advanced Component Development & Prototypes",1320,,1999,,,0,,,,,
4076,"0604764K","Advanced IT Services Joint Program Office (AITS-JPO)",5,"System Development And Demonstration",400,,1999,,,15109,,,,,
4077,"0603112F","Advanced Materials for Weapon Systems",3,"Advanced Technology Development",3600,,1999,,,31726,,,,,
4078,"0207163F","Advanced Medium Range Air-to-Air Missile (AMRAAM)",7,"Operational Systems Development",3600,,1999,,,33466,,,,,
4079,"0207163N","Advanced Medium Range Air-to-Air Missile (AMRAAM)",7,"Operational Systems Development",1319,,1999,,,4522,,,,,
4080,"0603570N","Advanced Nuclear Power Systems",4,"Advanced Component Development & Prototypes",1319,,1999,,,118909,,,,,
4081,"0633001A","Advanced Power Electronics Ground Systems Testbed Equipment",3,"Advanced Technology Development",2041,,1999,,,0,,,,,
4082,"0207591F","Advanced Program Evaluation",7,,3600,"Classified (Named)",1999,,,201543,,,,,
4083,"0207433F","Advanced Program Technology",7,,3600,"Classified (Named)",1999,,,79001,,,,,
4084,"0603714D8Z","Advanced Sensors Application Program",4,"Advanced Component Development And Prototypes",400,,1999,,,17731,,,,,
4085,"0603253F","Advanced Sensor Integration",3,,3600,,1999,,,13512,,,,,
4086,"0603526N","Advanced Software and Computing Technology",4,,1319,,1999,,,0,,,,,
4087,"0603401F","Advanced Spacecraft Technology",3,"Advanced Technology Development",3600,,1999,,,57655,,,,,
4088,"0101815F","Advanced Strategic Programs",7,,3600,"Classified (Named)",1999,,,0,,,,,
4089,"0603504N","Advanced Submarine Combat Systems Development",4,,1319,,1999,,,4507,,,,,
4090,"0603561N","Advanced Submarine System Development",4,"Advanced Component Development & Prototypes",1319,,1999,,,116265,,,,,
4091,"0603573N","Advanced Surface Machinery Systems",4,"Advanced Component Development & Prototypes",1319,,1999,,,29478,,,,,
4092,"0603772A","Advanced Tactical Computer Science and Sensor Technology",3,"Advanced Technology Development",2040,,1999,,,18406,,,,,
4093,"0603653A","Advanced Tank Armament System (ATAS)",4,"Advanced Component Development & Prototypes",2040,,1999,,,8464,,,,,
4094,"0603792N","Advanced Technology Transition",3,,1319,,1999,,,72321,,,,,
4095,"0603605F","Advanced Weapons Technology",3,"Advanced Technology Development",3600,,1999,,,51477,,,,,
4096,"0602307A","Advanced Weapons Technology",2,"Applied Research",2040,,1999,,,0,,,,,
4097,"0603845F","Transformational SATCOM (TSAT)",4,"Advanced Component Development & Prototypes",3600,,1999,,,0,,,,,
4098,"0603892C","AEGIS BMD",4,"Advanced Component Development And Prototypes",400,,1999,,,0,,,,,
4099,"0307207G","Aerial Common Sensor (ACS)",7,,400,,1999,,,0,,,,,
4100,"0307207A","Aerial Common Sensor (ACS)",7,"Operational Systems Development",2040,,1999,,,0,,,,,
4101,"0307207N","Aerial Common Sensor (ACS)",7,"Operational Systems Development",1319,,1999,,,0,,,,,
4102,"0305116F","Aerial Targets",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4103,"0401133F","Aeromedical Evacuation",7,,3600,,1999,,,0,,,,,
4104,"0604703F","Aeromedical/Chemical Defense Systems",5,,3600,,1999,,,3338,,,,,
4105,"0602201F","Aerospace Vehicle Technologies",2,"Applied Research",3600,,1999,,,60746,,,,,
4106,"0603726F","Aerospace Info Tech Sys Integration",3,,3600,,1999,,,10272,,,,,
4107,"0207410F","Air & Space Operations Center (AOC)",7,"Operational Systems Development",3600,,1999,,,0,,,,,
4108,"0602203F","Aerospace Propulsion",2,"Applied Research",3600,,1999,,,66259,,,,,
4109,"0603216F","Aerospace Propulsion and Power Technology",3,"Advanced Technology Development",3600,,1999,,,33579,,,,,
4110,"0603202F","Aerospace Propulsion Subsystems Integration",3,,3600,,1999,,,25150,,,,,
4111,"0602204F","Aerospace Sensors",2,"Applied Research",3600,,1999,,,61336,,,,,
4112,"0603211F","Aerospace Technology Dev/Demo",3,"Advanced Technology Development",3600,,1999,,,11640,,,,,
4113,"0102419A","Aerostat Joint Project - EMD",7,"Operational Systems Development",2040,,1999,,,12638,,,,,
4114,"0207247F","AF TENCAP",7,"Operational Systems Development",3600,,1999,,,6003,,,,,
4115,"0605123D8Z","AFCC Engineering and Installation",6,,400,,1999,,,0,,,,,
