SourceFiscalYear,GAOprogramName,CurrentTotalAcquisitionCost,BaseLineTotalAcquisitionCost,PercentChangeInTotalAcquisitionCostFromBaseline,PercentChangeInTotalAcquisitionCostInPast2Years,PercentChangeInTotalAcquisitionCostInPast5Years,CSISshorthand,Minimum,TRL2008,TRL2010,Notes,DevelopmentStart,DevelopmentStartYear,TRL2012assignedYear,TRL2012assignedYear,TRL2012assignedStage,DemonstratesAllCriticalTechnologiesInARelevantEnvironment,DemonstrateAllCriticalTechnologiesInARealisticEnvironment,CompletePreliminaryDesignReview,ReleaseAtLeast90percentOfDesignDrawings,TestAsystemLevelIntegratedPrototype,DemonstrateCriticalProcessesAreInControl,DemonstrateCriticalProcessOnApilotProductionLine,TestAproductionRepresenativePrototype
2011,Advanced Extremely High Frequency (AEHF) Satellite,"$14,083 ","$6,370 ",121.10%,7.40%,106.60%,AEHF,0.7,1,,,0.7,2001,,,,,,,,,,,
2011,Advanced Threat Infrared Countermeasure/Common Missile Warning System (ATIRCM/CMWS),"$4,853 ","$3,414 ",42.20%,1.70%,-11.60%,ATIRCM/CMWS,0.3,1,,,0.3,1995,,,,,,,,,,,
2011,AGM-88E Advanced Anti-Radiation Guided Missile (AARGM),"$1,902 ","$1,601 ",18.80%,2.70%,20.70%,AGM-88E,0.5,,1,,0.5,2003,,,,T,T,T,T,T,F,T,T
2011,AH-64D Longbow Apache,"$14,773 ","$6,132 ",140.90%,0.30%,34.80%,LONGBOW APACHE,0.5,0.5,1,,,,,,,,,,,,,,
2011,AIM-120 Advanced Medium Range Air-to-Air Missile (AMRAAM),"$23,582 ","$10,931 ",115.70%,-2.80%,38.20%,AMRAAM,,,,,,,,,,,,,,,,,
2011,AIM-9X/Air-to-Air Missile,"$3,750 ","$3,144 ",19.30%,2.90%,12.50%,AIM-9X,,,,,,,,,,,,,,,,,
2011,Airborne and Maritime/Fixed Station Joint Tactical Radio System (AMF JTRS),"$8,221 ","$8,154 ",0.80%,-1.40%,0.80%,AMF JTRS,,,,,,,,,,T,F,T,T,T,N/A,N/A,N/A
2011,Airborne Signals Intelligence Payload (ASIP) – Baseline,$554 ,$347 ,59.50%,-0.10%,NA,ASIP,0.5,,1,,0.5,2002,,,,,,,,,,,
2011,Apache Block IIIA (AB3A),"$10,737 ","$7,242 ",48.30%,0.00%,48.30%,AB3 APACHE Block III,,,,,,,,,,T,T,T,T,T,F,T,T
2011,Apache Block IIIB New Build,"$2,215 ","$2,370 ",-6.50%,-6.50%,-6.50%,AB3B NEW BUILD,,,,,,,,,,,,,,,,,
2011,Army Integrated Air & Missile Defense (Army IAMD),"$5,529 ","$5,029 ",9.90%,9.90%,9.90%,IAMD,,,,,,,,,,T,F,T,N/A,N/A,N/A,N/A,N/A
2011,"B-2 Extremely High Frequency SATCOM Capability, Increment 1",$625 ,$710 ,-11.90%,-0.40%,-11.90%,B-2 EHF Increment I,0.6,0.6,,,,,,,,T,T,T,T,T,N/A,N/A,N/A
2011,B-2 Radar Modernization Program (RMP),"$1,284 ","$1,339 ",-4.10%,-3.10%,2.30%,B-2 RMP,0.8,1,,,0.8,2004,,,,,,,,,,,
2011,Black Hawk (UH-60M),"$25,169 ","$12,970 ",94.10%,13.00%,19.90%,UH-60M Black Hawk Upgrade,,,,,,,,,,,,,,,,,
2011,Block IV Tomahawk (Tactical Tomahawk),"$6,943 ","$2,116 ",228.10%,-0.10%,54.80%,TACTICAL TOMAHAWK,,,,,,,,,,,,,,,,,
