Shorthand,PNO,Former PNO,Service Branch,Program type,Prime contractor 1,Prime contractor 2,Key contractors according FPDS,Key contractors according to direct sources,URL
AB3 APACHE Block III,202,,Army,Helicopter,Boeing,,General Electric,,http://www.army-technology.com/projects/apache/
AB3A REMANUFACTURE,,,,,Boeing,"Northrop Grumman, Lockheed Martin",,,
AB3B NEW BUILD,,,,,Boeing,Longbow Limited (LBL),,,
ACS,371,,Army,,Lockheed Martin,,,,
ADS Increment Alpha,,,,,,,,,
AEHF,261,,Air Force,,Lockheed Martin / TRW Systems (Northrop Grumman),Boeing ,"Northrop Grumman, SAIC, Raytheon",,
AESA,,,,,Northrop Grumman ,Raytheon,,,
AGM-88E,368,,Navy,Munitions,Alliant Tech Systems (ATK) Missile Systems  (Raytheon makes AGM-88 HARM),,,,
AIM-9X,581,,Navy,Munitions,Raytheon,,ATK,,
AIM-9X Block I,,,,,,,,,
AMF JTRS,380,,DoD-wide,Electronic,Lockheed Martin,,"BAE,  General Dynamics, Northrop Grumman, Raytheon, Booz Allen Hamilton, Rockwell Collins",,"http://www.defenselink.mil/contracts/contract.aspx?contractid=2842, GAO report"
AMRAAM,185,,Air Force,Munitions,Raytheon,,"Boeing, L-3",,
ARH,179,,Army,Helicopter,Bell Helicopter (Textron),,Rockwell Collins,,http://www.defensenews.com/story.php?i=3775612&c=AME&s=AIR 
ASDS,,,Army,,Northrop Grumman,,,,
ASIP,375,,Air Force,,"Northrop Grumman, Lockheed, L-3 Communications, Raytheon ",,,"Lockheed Martin, L-3, Raytheon",http://www.irconnect.com/noc/press/pages/news_releases.html?d=111244
ATACMS-BAT,,,,,,,,,
ATIRCM/CMWS,219,,Army,Electronic,BAE Systems (North America) ,,"Lockheed Martin, Northrop Grumman, BAE, Boeing",,
ATIRCM/CMWS SPLIT,,,,,,,,,
ATIRCM/CMWS SPLIT,,,,,,,,,
AV-8B REMANUFACTURE,,,,,,,,,
AWACS Upgrade,277,,,Electronic,Boeing,,"Northrop Grumman, BAE, DRS, Raytheon, L-3",,
B-1B CMUP,,,,,Boeing ,,,,
B-2 EHF Increment I,224,,Air Force,Fixed Wing,Northrop Grumman,,"Canadian Commerical Corporation, Boeing, Lockheed Martin, Hamilton Sundstrand, Honeywell",,
B-2 RMP,376,,Air Force,Fixed Wing,Northrop Grumman,,"Lockheed Martin, Honeywell",,
BAMS,373,,Navy,,Northrop Grumman,,Teledyne,,
BMDS,362,,DoD-wide,,"Boeing, Lockheed Martin, Northrop Grumman, Raytheon, TRW Systems (Northrop Grumman)",,"General Dynamics, Textron,  BAE",,
BDMS (RDT&E),,,,,,,,,
BRADLEY UPGRADE,601,,Army,AFV,BAE,,"DRS, Raytheon",,
C-130AMP,298,,Air Force,Fixed Wing,Boeing,,"BAE, L-3, Lockheed Martin, Honeywell, Hamilton Sunstrand (UTC), General Electric",,
C-130J,220,,Air Force,Fixed Wing,Lockheed Martin,,"Rolls-Royce, General Electric, Honeywell, BAE, SAIC, Boeing",,
C-17A,200,,Air Force,Fixed Wing,Boeing,,"Pratt and Whitney (UTC), BAE, Honeywell, Lockheed Martin, Harris, Rockwell Collins",,
C-5 AMP,273,,Air Force,Fixed Wing,Lockheed Martin,,"Honeywell, BAE",,
C-5 RERP,327,,Air Force,Fixed Wing,Lockheed Martin,,,,
CEC,582,,Navy,,Raytheon,,"General Dynamics, CACI",,
CGS,525,,,,,,,,
CH-47F,278,,Army,Helicopter,Boeing,,"Rockwell Collins, General Electric, Goodrich",,
CH-53K,390,,Navy,Helicopter,Sikorsky Aircraft Corporation (UTC),,,,
CHEM DEMIL-ACWA,243,,DoD-wide,,Bechtel National & Bechtel/Parsons JV,,"Edgerton, Germeshausen and Grier, Westinghouse, Washington Demilitarization Company, Bechtel, Parsons, General Physics Corporation, Stone & Webster, C2HM Hill Demilitarization Incorporated, Teledyne Brown Engineering, Alpha Management Solutions",,
CHEM DEMIL-CMA,285,,DoD-wide,,NA (agency withing DOD),,,,http://www.cma.army.mil/aboutcma.aspx
CHEM DEMIL-NEWPORT,,,,,,,,,
COBRA JUDY REPLACEMENT,365,,Navy,Helicopter,Raytheon,,"BAE, Northrop Grumman, Teledyne",,
COMANCHE,,,Army,,Boeing/Sikorsky JV,,,,
CRUSADER,AFF,2AFF,Army,,"United Defense, LP (BAE)",,General Dynamics (major subcontractor),,
CSAR-X,329,,,,Boeing,,,,
CVN 21,223,,Navy,Ship / Sub,Northrop Grumman,,,,
CVN 68,161,,Navy,Ship / Sub,Huntington Ingalls Industries (HII),,,,
CVN 78,223,,,,,,,,
DDG 1000,197,,Navy,Ship / Sub,Bath Iron Works (General Dynamics),Raytheon (Combat Systems),"Raytheon, BAE, L-3",,
DDG 1000 (RDT&E),,,,,,,,,
DDG 51,180,,Navy,Ship / Sub,Huntington Ingalls Industries (HII),*Bath Iron Works (General Dynamics) finishing,"BAE, Raytheon, Boeing, Northrop Grumman, Aglient, ITT",,
DIMHRS,M26,,DoD-wide,,Northrop Grumman,PeopleSoft,"Oracle, Novonics, Ampio, ICF Inc.",,
