Shorthand,ProgramName,PrettyName,GAOprogram
AB3 APACHE Block III,AB3 APACHE Block III (Longbow Apache Block III),AB3 Apache Block III (Longbow Apache Block III),Apache Block IIIA (AB3A)
AB3A REMANUFACTURE,AB3A REMANUFACTURE,,
AB3B NEW BUILD,AB3B NEW BUILD,,Apache Block IIIB New Build
ACS,ACS,,
ADS Increment Alpha,ADS,,
AEHF,AEHF,AEHF,Advanced Extremely High Frequency (AEHF) Satellite
AESA,AESA,,
AGM-88E,AGM-88E,AGM-88E,AGM-88E Advanced Anti-Radiation Guided Missile (AARGM)
AIM-9X,AIM-9X,AIM-9X,AIM-9X/Air-to-Air Missile
AIM-9X Block I,AIM-9X Block I,AIM-9X Block I,
AMF JTRS,AMF JTRS** (Cluster 3),,Airborne and Maritime/Fixed Station Joint Tactical Radio System (AMF JTRS)
AMRAAM,AMRAAM (AIM-120),AMRAAM (AIM-120),AIM-120 Advanced Medium Range Air-to-Air Missile (AMRAAM)
ARH,"ARH (Cancelled October 16, 2008)",ARH,
ASDS,ASDS,,
ASIP,ASIP,,Airborne Signals Intelligence Payload (ASIP) – Baseline
ATACMS-BAT,ATACMS-BAT,,
ATIRCM/CMWS,ATIRCM/CMWS (Advanced Threat Infrared Countermeasures/Common Missile Warning System),ATIRCM/CMWS (Advanced Threat Infrared Countermeasures/Common Missile Warning System),Advanced Threat Infrared Countermeasure/Common Missile Warning System (ATIRCM/CMWS)
ATIRCM/CMWS SPLIT,,,
ATIRCM/CMWS SPLIT,,,
AV-8B REMANUFACTURE,,,
AWACS Upgrade,AWACS upgrade**,,
B-1B CMUP,,,
B-2 EHF Increment I,B-2 EHF Increment I,B-2 EHF Increment I,"B-2 Extremely High Frequency SATCOM Capability, Increment 1"
B-2 RMP,B-2 RMP,B-2 RMP,B-2 Radar Modernization Program (RMP)
BAMS,BAMS**,,Broad Area Maritime Surveillance (BAMS) Unmanned Aircraft System (UAS)
BDMS (RDT&E),BMDS (Ballistic Missile Defense System),BMDS (Ballistic Missile Defense System),
BMDS,,,
BRADLEY UPGRADE,Bradley Upgrade,Bradley Upgrade,Bradley Fighting Vehicle Systems (BFVS) A3 Upgrade
C-130AMP,C-130AMP,C-130AMP,C-130 Avionics Modernization Program (AMP)
C-130J,C-130J,C-130J,C-130J Hercules
C-17A,C-17A,C-17A,C-17A Globemaster III
C-5 AMP,C-5 AMP,C-5 AMP,C-5 Avionics Modernization Program (AMP)
C-5 RERP,C-5 RERP,C-5 RERP,C-5 Reliability Enhancement and Reengining Program (RERP)
CEC,CEC (Cooperative Engagement Capability),CEC (Cooperative Engagement Capability),Cooperative Engagement Capability (CEC)
CH-47F,CH-47F,CH-47F,CH-47F Improved Cargo Helicopter (CH-47F)
CH-53K,CH-53K (HLR),CH-53K (HLR),CH-53K - Heavy Lift Replacement
CGS,CGS,CGS,Common Ground Station
CHEM DEMIL-ACWA,CHEM DEMIL-ACWA,CHEM DEMIL-ACWA,Chemical Demilitarization-Assembled Chemical Weapons Alternatives (Chem Demil-ACWA)
CHEM DEMIL-CMA,CHEM DEMIL-CMA,CHEM DEMIL-CMA,Chemical Demilitarization-U.S. Army Chemical Materials Agency (Chem Demil-CMA)
CHEM DEMIL-NEWPORT,,,
COBRA JUDY REPLACEMENT,Cobra Judy replacement,Cobra Judy replacement,Cobra Judy Replacement (CJR)
COMANCHE,,COMANCHE (RAH-66),
CRUSADER,,Crusader,
CSAR-X,"CSAR-X (cancelled April 6, 2009)",,
CVN 21,CVN 21,CVN 21,CVN 21 Future Aircraft Carrier
CVN 68,CVN 68,CVN 68,CVN-68 Class / Carrier Replacement Program (CVN 77)
CVN 78,CVN 78,,CVN 78 Class
DDG 1000,,,DDG 1000 Destroyer
DDG 1000 (RDT&E),DDG 1000 (DD(X)),DDG 1000 (DD(X)),
DDG 51,DDG 51,DDG 51,DDG 51 Destroyer
DIMHRS,DIMHRS (PERS/PAY)*,DIMHRS (PERS/PAY)*,
DON-LAIRCM,DON-LAIRCM (Department of Navy-Large Aircraft Infrared Countermeasures),,
E-2C REPRODUCTION,,,
E-2D AHE,E-2D AHE,E-2D AHE,E-2D Advanced Hawkeye (E-2D AHE)
E-8 JSTARS,,,
EA-18G,EA-18G,EA-18G,EA-18G Growler
EA-6B ICAP III,EA-6B ICAP III,EA-6B ICAP III,EA-6B Improved Capability (ICAP) III
EELV,,,
EFV,EFV,EFV,Expeditionary Fighting Vehicle (EFV)
E-IBCT,INCREMENT 1 E-IBCT,INCREMENT 1 E-IBCT,Increment 1 Early-Infantry Brigade Combat Team
ER/MP UAS,Sky Warrior**,,
ERM,"ERM**** (Extended Range Munition) (funding was stopped March 19, 2008)","ERM**** (Extended Range Munition) (funding was stopped March 19, 2008)",
EXCALIBUR,Excalibur,Excalibur,M982 155mm Precision Guided Extended Range Artillery Projectile (Excalibur)
F/A-18E/F,F/A-18E/F,F/A-18E/F,F/A-18E/F Super Hornet
F-22,F-22,F-22,F-22 Raptor
F-35,F-35,F-35,F-35 Lightning II (Joint Strike Fighter)
F-35 Aircraft,F-35 Aircraft,F-35 Aircraft,
F-35 Engine,F-35 Engine,F-35 Engine,
FAB-T,FAB-T,FAB-T,Family of Advanced Beyond Line-of-Sight Terminals (FAB-T)
FBCB2,FBCB2,FBCB2,Force XXI Battle Command Brigade and Below (FBCB2)
FCS,FCS,FCS,
FMTV,FMTV,FMTV,Family of Medium Tactical Vehicles (FMTV)
GBS,GBS (Global Broadcast Service),GBS (Global Broadcast Service),Global Broadcast Service (GBS)
GCSS Army,GCSS Army (Global Combat Support System Army),,
GMLRS,GMLRS (Guided Multiple Launch Rocket System),GMLRS (Guided Multiple Launch Rocket System),Guided Multiple Launch Rocket System (GMLRS)
GPS IIIA,GPS IIIA,GPS IIIA,Global Positioning System (GPS) III
H-1 Upgrades,H-1 Upgrades (4BW/4BN),H-1 Upgrades (4BW/4BN,H-1 Upgrades (4BW/4BN)
HC/MC-130 RECAP,,,HC/MC-130 Recapitalization Program
HIMARS,HIMARS,HIMARS,High Mobility Artillery Rocket System (HIMARS)
HLR,,,
HPCM,HPCM** (High Performance Computer Modernization),,
IAMD,IAMD,IAMD,Army Integrated Air & Missile Defense (Army IAMD)
IDECM,IDECM,IDECM,Integrated Defensive Electronic Countermeasures (IDECM)
IDECM Split,IDECM (Block 2/3),,Integrated Defensive Electronic Countermeasures (IDECM) Blocks 2/3
IDECM Split,IDECM (Block 4),,Integrated Defensive Electronic Countermeasures (IDECM) Block 4
JASSM,JASSM,JASSM,Joint Air-to-Surface Standoff Missile (JASSM)
JASSM Split,JASSM,JASSM,Joint Air-to-Surface Standoff Missile (JASSM)
JASSM Split,JASSM,JASSM,Joint Air-to-Surface Standoff Missile (JASSM)
JAVELIN,,,
JCA,JCA (C-27J Spartan),JCA (C-27J Spartan),C-27J Spartan
JCM,,,
JDAM,JDAM,JDAM,Joint Direct Attack Munition
JDAM JPATS,,,
JHSV,JHSV (Joint High Speed Vessel),,Joint High Speed Vessel (JHSV)
JLENS,JLENS (Joint Land Attack Cruise Missile Defense Elevated Netted Sensor),JLENS (Joint Land Attack Cruise Missile Defense Elevated Netted Sensor),Joint Land Attack Cruise Missile Defense Elevated Netted Sensor System (JLENS)
Joint MRAP,Joint MRAP,Joint MRAP,Joint Mine Resistant Ambush Protected (MRAP)
JPALS,JPALS (Joint Precision Approach and Landing System),,Joint Precision Approach and Landing System (JPALS)
JPATS,JPATS (Joint Primary Aircraft Training System),JPATS (Joint Primary Aircraft Training System),Joint Primary Aircraft Training System (JPATS)
JSIMS,,,
JSOW,JSOW,JSOW,Joint Standoff Weapon (JSOW)
JSOW Split,JSOW Baseline/BLU-108,Baseline/BLU-108,Joint Standoff Weapon (JSOW) Baseline
JSOW Split,JSOW Unitary,Unitary,Joint Standoff Weapon (JSOW) Unitary
JTRS GMR,JTRS GMR (Cluster 1),JTRS GMR (Cluster 1),Joint Tactical Radio System (JTRS) Ground Mobile Radios (GMR)
JTRS HMS,JTRS HMS,JTRS HMS,"Joint Tactical Radio System (JTRS) Handheld, Manpack, and Small Form Fit (HMS)"
JTRS NED,JTRS NED (Waveform),JTRS NED (Waveform),Joint Tactical Radio System (JTRS) Network Enterprise Domain (NED)
KC-130J,,,KC-130J
KC-45A,KC-45A***,,
KC-46A,,,
LAIRCM,LAIRCM (Large Aircraft Countermeasures),LAIRCM (Large Aircraft Countermeasures),Large Aircraft Infrared Countermeasures (LAIRCM)
LAND WARRIOR,,,
LCS,LCS,LCS,Littoral Combat Ship (LCS)
LCS (RDT&E),LCS (RDT&E),LCS (RDT&E),LCS (RDT&E)
LHA Replacement,LHA Replacement,LHA Replacement,LHA Replacement Amphibious Assault Ship
LHD 1,,,
LONGBOW APACHE,Longbow Apache,Longbow Apache,AH-64D Longbow Apache
LONGBOW HELLFIRE,,,
LPD 17,LPD 17,LPD 17,LPD 17 Amphibious Transport Dock
LUH,LUH,LUH,"Light Utility Helicopter (LUH), UH-72A Lakota"
M1A2 ABRAMS UPGRADE,,,
MCS,,,
MH-60R,MH-60R,MH-60R,MH-60R Multi-Mission Helicopter
MH-60S,MH-60S,MH-60S,MH-60S Fleet Combat Support Helicopter
MIDS JTRS,MIDS (Multi-Functional Information Distribution System),MIDS (Multi-Functional Information Distribution System),Multifunctional Information Distribution System (MIDS)
MIDS-LVT,,,
MINUTEMAN III GRP,Minuteman III GRP**** (SAR June 2008 was final submission as 90 percent of the program were delivered),Minuteman III GRP**** (SAR June 2008 was final submission as 90 percent of the program were delivered),
MINUTEMAN III PRP,Minuteman III PRP,Minuteman III PRP,Minuteman III Propulsion Replacement Program (PRP)
MP RTIP,,,Multi-Platform Radar Technology Insertion Program (MP-RTIP)
MP RTIP (RDT&E),MP RTIP (Multi-Platform Radar Technology Insertion Program),MP RTIP (Multi-Platform Radar Technology Insertion Program),Multi-Platform Radar Technology Insertion Program (MP-RTIP)
MPS,MPS* (Mission Planning System),MPS* (Mission Planning System),
MQ-1 PREDATOR,,,
MQ-1C GRAY EAGLE,,,MQ-1C UAS Gray Eagle
MQ-4C UAS BAMS,,,
MQ-9 REAPER,Reaper,,Reaper Unmanned Aircraft System (UAS)
