SourceFiscalYearName,SourceFiscalYear,SARSname,Shorthand
2006-LB APACHE BLOCK III,2006,LB APACHE BLOCK III,AB3 APACHE Block III
2007-APACHE BLOCK III (AB3),2007,APACHE BLOCK III (AB3),AB3 APACHE Block III
2008-APACHE BLOCK III (AB3),2008,APACHE BLOCK III (AB3),AB3 APACHE Block III
2010-APACHE BLOCK III,2010,APACHE BLOCK III (AB3),AB3 APACHE Block III
2009-AB3,2009,AB3,AB3 APACHE Block III
2010-AB3A REMANUFACTURE,2010,AB3A REMANUFACTURE,AB3A REMANUFACTURE
2011-AB3A REMANUFACTURE,2011,AB3A REMANUFACTURE,AB3A REMANUFACTURE
2010-AB3B NEW BUILD,2010,AB3B NEW BUILD,AB3B NEW BUILD
2011-AB3B NEW BUILD,2011,AB3B NEW BUILD,AB3B NEW BUILD
2004-ACS,2004,ACS,ACS
2005-ACS,2005,ACS,ACS
2006-ADS,2006,ADS,ADS Increment Alpha
2007-ADS (AN/WQR-3),2007,ADS (AN/WQR-3),ADS Increment Alpha
2001-AEHF,2001,AEHF,AEHF
2002-AEHF,2002,AEHF,AEHF
2003-AEHF,2003,AEHF,AEHF
2004-AEHF,2004,AEHF,AEHF
2005-AEHF,2005,AEHF,AEHF
2006-AEHF,2006,AEHF,AEHF
2007-AEHF,2007,AEHF,AEHF
2008-AEHF,2008,AEHF,AEHF
2009-AEHF,2009,AEHF,AEHF
2010-AEHF,2010,AEHF,AEHF
2011-AEHF,2011,AEHF,AEHF
2001-AESA,2001,AESA,AESA
2002-AESA (RDT&E),2002,AESA (RDT&E),AESA
2003-AESA (RDT&E),2003,AESA (RDT&E),AESA
2004-AESA (RDT&E),2004,AESA (RDT&E),AESA
2005-AESA,2005,AESA,AESA
2003-AGM-88E (AARGM),2003,AGM-88E (AARGM),AGM-88E
2004-AGM-88E (AARGM),2004,AGM-88E (AARGM),AGM-88E
2005-AGM-88E (AARGM),2005,AGM-88E (AARGM),AGM-88E
2006-AGM-88E (AARGM),2006,AGM-88E (AARGM),AGM-88E
2007-AGM-88E AARGM,2007,AGM-88E AARGM,AGM-88E
2008-AGM-88E AARGM,2008,AGM-88E AARGM,AGM-88E
2009-AGM-88E AARGM,2009,AGM-88E AARGM,AGM-88E
2010-AGM-88E AARGM,2010,AGM-88E AARGM,AGM-88E
2011-AGM-88E AARGM,2011,AGM-88E AARGM,AGM-88E
2001-AIM-9X,2001,AIM-9X,AIM-9X
2002-AIM-9X,2002,AIM-9X,AIM-9X
2003-AIM-9X,2003,AIM-9X,AIM-9X
2004-AIM-9X,2004,AIM-9X,AIM-9X
2005-AIM-9X,2005,AIM-9X,AIM-9X
2006-AIM-9X,2006,AIM-9X,AIM-9X
2007-AIM-9X,2007,AIM-9X,AIM-9X
2008-AIM-9X,2008,AIM-9X,AIM-9X
2009-AIM-9X,2009,AIM-9X,AIM-9X
2010-AIM-9X,2010,AIM-9X,AIM-9X
2011-AIM-9X Block I,2011,AIM-9X Block I,AIM-9X Block I
2000-Air Force Subtotal,2000,Air Force Subtotal,Air Force Subtotal
2001-Air Force Subtotal,2001,Air Force Subtotal,Air Force Subtotal
2002-Air Force Subtotal,2002,Air Force Subtotal,Air Force Subtotal
2003-Air Force Subtotal,2003,Air Force Subtotal,Air Force Subtotal
2004-Air Force Subtotal,2004,Air Force Subtotal,Air Force Subtotal
2005-Air Force Subtotal,2005,Air Force Subtotal,Air Force Subtotal
2006-Air Force Subtotal,2006,Air Force Subtotal,Air Force Subtotal
2007-Air Force Subtotal,2007,Air Force Subtotal,Air Force Subtotal
2008-Air Force Subtotal,2008,Air Force Subtotal,Air Force Subtotal
2009-Air Force Subtotal,2009,Air Force Subtotal,Air Force Subtotal
2010-Air Force Subtotal,2010,Air Force Subtotal,Air Force Subtotal
2011-Air Force Subtotal,2011,Air Force Subtotal,Air Force Subtotal
2012-Air Force Subtotal,2012,Air Force Subtotal,Air Force Subtotal
2013-Air Force Subtotal,2013,Air Force Subtotal,Air Force Subtotal
2010-AMF JTRS,2010,AMF JTRS,AMF JTRS
2011-AMF JTRS,2011,AMF JTRS,AMF JTRS
2001-AMRAAM,2001,AMRAAM,AMRAAM
2002-AMRAAM,2002,AMRAAM,AMRAAM
2003-AMRAAM,2003,AMRAAM,AMRAAM
2004-AMRAAM,2004,AMRAAM,AMRAAM
