SARdate,Component,SARprogram,BaselineYear,BaseLineType,BaselineEstimateBaselineYear,BaselineEstimateThenYear,BaselineEstimateQuantity,ChangesToDateBaselineYear,ChangesToDateThenYear,ChangesToDateQuantity,CurrentEstimateBaselineYear,CurrentEstimateThenYear,CurrentEstimateQuantity,PrecntChangeToDateAdjustedForQuantityConstant,PrecntChangeToDateAdjustedForQuantityThenYear
12/1/2001,ARMY,ABRAMS UPGRADE,1995,PdE," 6,991.90 "," 7,961.90 "," 1,060.00 "," 1,468.70 "," 1,134.20 ", 95.00 ," 8,460.60 "," 9,096.10 "," 1,155.00 ", 13.10 , 6.50 
12/1/2001,ARMY,ATACMS-BAT,1991,DE," 3,867.70 "," 5,287.70 "," 32,799.00 "," 1,213.80 "," 1,227.60 "," (15,371.00)"," 5,081.50 "," 6,515.30 "," 17,428.00 ", 70.90 , 76.10 
12/1/2001,ARMY,ATIRCM/CMWS,1996,DE," 2,628.40 "," 3,361.60 "," 3,094.00 ", (356.80), (510.20)," (2,016.00)"," 2,271.60 "," 2,851.40 "," 1,078.00 ", 38.90 , 43.10 
12/1/2001,ARMY,BRADLEY UPGRADE,2001,PdE," 3,724.20 "," 3,859.80 ", 926.00 , 349.80 , 386.00 , 111.00 ," 4,074.00 "," 4,245.80 "," 1,037.00 ", 1.70 , 1.60 
12/1/2001,ARMY,CGS,2000,DE/PdE, 812.70 , 820.20 , 96.00 , (19.80), (23.10), - , 792.90 , 797.10 , 96.00 , 0.10 , (0.30)
12/1/2001,ARMY,CH-47F,1997,DE," 2,523.60 "," 3,115.40 ", 302.00 ," 2,864.60 "," 3,598.40 ", 37.00 ," 5,388.20 "," 6,713.80 ", 339.00 , 95.50 , 95.10 
12/1/2001,ARMY,COMANCHE,2000,DE," 37,936.10 "," 48,134.30 "," 1,213.00 "," 1,240.70 ", (228.70), - ," 39,176.80 "," 47,905.60 "," 1,213.00 ", 3.40 , (0.40)
12/1/2001,ARMY,CRUSADER (RDT&E),1995,PE," 2,357.00 "," 2,780.00 ", - ," 1,458.00 "," 1,506.30 ", - ," 3,815.00 "," 4,286.30 ", - , 54.10 , 46.80 
12/1/2001,ARMY,FBCB2,2000,DE," 2,281.00 "," 2,617.90 "," 59,522.00 ", 154.00 , 199.50 ," (3,057.00)"," 2,435.00 "," 2,817.40 "," 56,465.00 ", 9.90 , 11.30 
12/1/2001,ARMY,FMTV,1996,PdE," 11,594.20 "," 18,921.30 "," 85,488.00 "," 2,657.70 ", (846.90)," (2,303.00)"," 14,251.90 "," 18,074.40 "," 83,185.00 ", 24.00 , (1.40)
