Unseperated,nationalinterestactioncode,nationalinterestactioncodeText,IsHurricane,CrisisFunding
NULL,,NULL,NULL,NULL
: ,: ,,NULL,NULL
F081: MIDWEST STORMS AND FLOODING 2008,F081,MIDWEST STORMS AND FLOODING 2008,NULL,Disaster
H05K: Hurricane Katrina 2005,H05K,HURRICANE KATRINA 2005,1,Disaster
H05O: HURRICANE OPHELIA 2005,H05O,HURRICANE OPHELIA 2005,1,Disaster
H05R: HURRICANE RITA 2005,H05R,HURRICANE RITA 2005,1,Disaster
H05W: HURRICANE WILMA 2005,H05W,HURRICANE WILMA 2005,1,Disaster
H06C: HURRICANE CHRIS 2006,H06C,HURRICANE CHRIS 2006,1,Disaster
H06E: HURRICANE ERNESTO 2006,H06E,HURRICANE ERNESTO 2006,1,Disaster
H08G: HURRICANE GUSTAV 2008,H08G,HURRICANE GUSTAV 2008,1,Disaster
H08H: HURRICANE HANNA 2008,H08H,HURRICANE HANNA 2008,1,Disaster
H08I: HURRICANE IKE 2008,H08I,HURRICANE IKE 2008,1,Disaster
H10E: HURRICANE EARL 2010,H10E,HURRICANE EARL 2010,1,Disaster
H11I: HURRICANE IRENE 2011,H11I,HURRICANE IRENE 2011,1,Disaster
H12I: HURRICANE ISAAC 2012 ,H12I,HURRICANE ISAAC 2012 ,1,Disaster
NULL,H13S,HURRICANE SANDY 2013,1,Disaster
I09P: INAUGURATION 2009,I09P,INAUGURATION 2009,NULL,NULL
NONE: NONE,NONE,NONE,NULL,NULL
O10G: GULF OIL SPILL 0410,O10G,GULF OIL SPILL 0410,NULL,NULL
O12F: OPERATION ENDURING FREEDOM (OEF),O12F,OPERATION ENDURING FREEDOM (OEF),NULL,OCO
NULL,O14E,OPERATION UNITED ASSISTANCE (OUA) - EBOLA OUTBREAK WEST AFRICA,NULL,OCO
NULL,O14S,OPERATIONS IN IRAQ AND SYRIA,NULL,OCO
NULL,O15F,OPERATION FREEDOM'S SENTINEL (OFS),NULL,OCO
Q10H: HAITI EARTHQUAKE 2010,Q10H,HAITI EARTHQUAKE 2010,NULL,Disaster
Q11J: PACIFIC EARTHQUAKE/TSUNAMI 2011,Q11J,PACIFIC EARTHQUAKE/TSUNAMI 2011,NULL,Disaster
"T10S: AMERICAN SAMOA EARTHQUAKE, TSUNAMI AND FLOODING",T10S,"AMERICAN SAMOA EARTHQUAKE, TSUNAMI AND FLOODING",NULL,Disaster
NULL,T13O,OKLAHOMA TORNADO AND STORM 2013,NULL,Disaster
W081: CALIFORNIA WILDFIRES 2008,W081,CALIFORNIA WILDFIRES 2008,NULL,Disaster
