variable,SourceColumn,AllColumns,Consolidate,OriginType
.Base...OCO..Quantity,Comptroller,Quant_Actual,QuantActualTotal,Total
.Base...OCO..Amount,Comptroller,Actual,ActualTotal,Total
Base.Enacted.Quantity,Comptroller,Quant_Base_App,QuantAppOrigin,Base
Base.Enacted.Amount,Comptroller,Base_App,AppOrigin,Base
OCO.Enacted.Quantity,Comptroller,Quant_OCO_App,QuantAppOrigin,OCO
OCO.Enacted.Amount,Comptroller,OCO_App,AppOrigin,OCO
Total.Enacted.Quantity,Comptroller,App,AppTotal,Total
Total.Enacted.Amount,Comptroller,Quant_App,QuantAppTotal,Total
Base.Quantity,Comptroller,Quant_Base_PB,QuantPBorigin,Base
Base.Amount,Comptroller,Base_PB,PBorigin,Base
OCO.Quantity,Comptroller,Quant_OCO_PB,QuantPBorigin,OCO
OCO.Amount,Comptroller,OCO_PB,PBorigin,OCO
Total.Quantity,Comptroller,Quant_PB,QuantPBtotal,Total
Total.Amount,Comptroller,PB,PBtotal,Total
.Base...OCO.,Comptroller,Actual,ActualTotal,Total
Base.Enacted,Comptroller,Base_App,AppOrigin,Base
OCO.Enacted,Comptroller,OCO_App,AppOrigin,OCO
Total.Enacted,Comptroller,Quant_App,QuantAppTotal,Total
Base,Comptroller,Base_PB,PBorigin,Base
OCO,Comptroller,OCO_PB,PBorigin,OCO
Total,Comptroller,PB,PBtotal,Total
CR.Quant,Harrison,Quant_CR,QuantCRtotal,Total
CR.OCO.Quant,Harrison,Quant_CR_OCO,QuantCRorigin,OCO
Quant,Harrison,Quant_Actual,QuantActualTotal,Total
,Harrison,Actual,ActualTotal,Total
PB,Harrison,PB,PBtotal,Total
App,Harrison,App,AppTotal,Total
CR,Harrison,CR,AppOrigin,CR
CR_OCO,Harrison,CR_OCO,AppOrigin,CR.OCO
OCO_PB,Harrison,OCO_PB,PBorigin,OCO
OCO_App,Harrison,OCO_App,AppOrigin,OCO
OCO_Sup,Harrison,OCO_Sup,AppOrigin,OCO.Sup
Quant_PB,Harrison,Quant_PB,QuantPBtotal,Total
Quant_App,Harrison,Quant_App,QuantAppTotal,Total
Quant_OCO_PB,Harrison,Quant_OCO_PB,QuantPBorigin,OCO
Quant_OCO_App,Harrison,Quant_OCO_App,QuantAppOrigin,OCO.Sup
Quant_OCO_Sup,Harrison,Quant_OCO_Sup,QuantAppOrigin,OCO.Sup
