TAS Agency,TAS Major Program,TAS Sub Program,Department ID,Department Name,Contracting Agency ID,Contracting Agency Name,Contracting Office ID,Contracting Office Name,Contracting Office Region,PIID,Modification Number,Transaction Number,Referenced IDV PIID,Date Signed,Effective Date,Completion Date,Est. Ultimate Completion Date,Last Date to Order,Funding Agency ID,Funding Agency Name,Funding Office ID,Funding Office Name,Product or Service Code,Product or Service Description,NAICS Code,NAICS Description,Description of Requirement,Principal Place of Performance County Name,Principal Place of Performance Location Name,Principal Place of Performance State Code,Congressional District - Place of Performance,Principal Place of Performance Zip Code,Principal Place of Performance Country Name,Country of Origin,Extent Competed,Reason Not Competed,Solicitation Procedures,Type of Set Aside,Statutory Exceptions to Fair Opportunity,Type Of Contract Pricing,Award Type,Reason For Modification,DUNS Number,Vendor Name,Vendor Address Line 1,Vendor Address Line 2,Vendor Address City,Vendor Address State Name,Vendor Address Zip Code,Vendor Address Country Name,Vendor Congressional District,Is Vendor Business Type - 8(a) Firm,Is Vendor Business Type - 8a Joint Venture,Is Vendor Business Type - HUBZone Firm,Is Vendor Business Type - SDB Concern,Is Vendor Business Type - Self-Certifed Small Disadvantaged Business,Is Vendor Business Type - Veteran Owned,Is Vendor Business Type - Service Disabled Vet,Is Vendor Business Type - Women Owned,Is Vendor Business Type - Minority Owned Business,Is Vendor Business Type - Asian Indian,Is Vendor Business Type - Asian Pacific,Is Vendor Business Type - Black Owned,Is Vendor Business Type - Hispanic Owned,Is Vendor Business Type - Native American,Is Vendor Business Type - Other Minority Owned,Is Vendor Business Type - Alaskan Native Owned Corporation or Firm,Is Vendor Business Type - American Indian,Is Vendor Business Type - Indian Tribe,Is Vendor Business Type - Native Hawaiian Owned Organization or Firm,Is Vendor Business Type - Tribally Owned,Is Vendor Business Type - Emerging Small Business,Contracting Officer's Business Size Determination,Number Of Offers Received,Number of Actions,Action Obligation,Base and Exercised Options Value,Base and All Options Value
05,0107,,0500,GOVERNMENT ACCOUNTABILITY OFFICE,0559,"GAO, EXCEPT COMPTROLLER GENERAL",GAO AM,GAO ACQUISITION MANAGEMENT,NO REGION IDENTIFIED,GAO10DO0012,3,0,GS28F8029H,05/14/2014,05/14/2014,09/30/2010,09/30/2010,,0559,"GAO, EXCEPT COMPTROLLER GENERAL",GAO AM,GAO ACQUISITION MANAGEMENT,7110,OFFICE FURNITURE,337214,OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,DE-OBLIGATIONS PROJECT - DE-OBLIGATE FUNDING UNDER GAO-12-PO-0036 IN THE AMOUNT OF -$93.54 FY2010 - 0107A10DB0,DISTRICT OF COLUMBIA,WASHINGTON,DC,00,205480605,UNITED STATES,UNITED STATES,FULL AND OPEN COMPETITION,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,,FAIR OPPORTUNITY GIVEN,FIRM FIXED PRICE,DELIVERY ORDER,OTHER ADMINISTRATIVE ACTION,781316096,KNOLL INC,1235 WATER ST,,EAST GREENVILLE,PENNSYLVANIA,180412202,UNITED STATES,06,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,1,1,-$93.54,-$93.54,-$93.54
05,0107,,0500,GOVERNMENT ACCOUNTABILITY OFFICE,0559,"GAO, EXCEPT COMPTROLLER GENERAL",GAO AM,GAO ACQUISITION MANAGEMENT,NO REGION IDENTIFIED,GAO11PO0012,8,0,,03/31/2014,03/31/2014,09/30/2013,09/30/2013,,0559,"GAO, EXCEPT COMPTROLLER GENERAL",GAO AM,GAO ACQUISITION MANAGEMENT,R499,SUPPORT- PROFESSIONAL: OTHER,541612,"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",DE-OBLIGATION OF FUNDING,DISTRICT OF COLUMBIA,WASHINGTON,DC,00,205480001,UNITED STATES,UNITED STATES,NOT COMPETED UNDER SAP,SAP NON-COMPETITION,SIMPLIFIED ACQUISITION,NO SET ASIDE USED.,,FIRM FIXED PRICE,PURCHASE ORDER,OTHER ADMINISTRATIVE ACTION,184779924,"CORPORATE EXECUTIVE BOARD COMPANY, THE",1919 N LYNN ST STE 500,,ARLINGTON,VIRGINIA,222091705,UNITED STATES,08,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,1,1,-$100.00,-$100.00,-$100.00
05,0107,,0500,GOVERNMENT ACCOUNTABILITY OFFICE,0559,"GAO, EXCEPT COMPTROLLER GENERAL",GAO AM,GAO ACQUISITION MANAGEMENT,NO REGION IDENTIFIED,GAO11DI0006,7,0,GS25F0062L,05/16/2014,05/16/2014,09/30/2011,09/30/2011,,0559,"GAO, EXCEPT COMPTROLLER GENERAL",GAO AM,GAO ACQUISITION MANAGEMENT,J036,MAINT/REPAIR/REBUILD OF EQUIPMENT- SPECIAL INDUSTRY MACHINERY,333293,PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,FY 2011- DE-OBLIGATIONS PROJECT,DISTRICT OF COLUMBIA,WASHINGTON,DC,00,205480605,UNITED STATES,UNITED STATES,FULL AND OPEN COMPETITION,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO SET ASIDE USED.,FAIR OPPORTUNITY GIVEN,FIRM FIXED PRICE,DELIVERY ORDER,OTHER ADMINISTRATIVE ACTION,039860122,XEROX CORPORATION,7900 WESTPARK DR STE A400,,MC LEAN,VIRGINIA,221024237,UNITED STATES,11,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,1,1,"-$1,294.89","-$1,294.89","-$1,294.89"
05,0107,,0500,GOVERNMENT ACCOUNTABILITY OFFICE,0559,"GAO, EXCEPT COMPTROLLER GENERAL",GAO AM,GAO ACQUISITION MANAGEMENT,NO REGION IDENTIFIED,GAO09DI0018,4,0,NNG07DA12B,05/16/2014,05/16/2014,06/30/2011,06/30/2011,,0559,"GAO, EXCEPT COMPTROLLER GENERAL",GAO AM,GAO ACQUISITION MANAGEMENT,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,334111,ELECTRONIC COMPUTER MANUFACTURING,FY 2010- DE-OBLIGATIONS PROJECT - DE-OBLIGATE FUNDING UNDER GAO-09-DI-0018 IN THE AMOUNT OF $174.24 - 0107A10DA0.,DISTRICT OF COLUMBIA,WASHINGTON,DC,00,205480605,UNITED STATES,UNITED STATES,FULL AND OPEN COMPETITION,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,NO SET ASIDE USED.,FAIR OPPORTUNITY GIVEN,FIRM FIXED PRICE,DELIVERY ORDER,OTHER ADMINISTRATIVE ACTION,835130485,INTERNATIONAL BUSINESS MACHINES CORPORATION,6710 ROCKLEDGE DR,,BETHESDA,MARYLAND,208171826,UNITED STATES,08,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,1,1,-$174.24,-$174.24,-$174.24
05,0108,,1500,"JUSTICE, DEPARTMENT OF",1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),NO REGION IDENTIFIED,DJJ15XUSA540014,0,,,09/25/2014,10/01/2014,,,09/30/2015,1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),7510,OFFICE SUPPLIES,424120,STATIONERY AND OFFICE SUPPLIES MERCHANT WHOLESALERS,"IGF::OT::IGF TONER CARTIDGES, INKJETS, OFFICE SUPPLIES",,,,,,,N/A,,,,,,FIRM FIXED PRICE,BPA,,122806412,SHELBY DISTRIBUTIONS INC.,29 BUTTERFIELD TRAIL BLVD STE D,,EL PASO,TEXAS,799065232,UNITED STATES,16,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SMALL BUSINESS,0,1,$0.00,$0.00,$0.00
05,0108,,1500,"JUSTICE, DEPARTMENT OF",1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),NO REGION IDENTIFIED,DJJ14WUSA540155,0,0,,04/08/2014,04/10/2014,04/10/2015,04/10/2015,,1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),B522,SPECIAL STUDIES/ANALYSIS- LEGAL,541199,ALL OTHER LEGAL SERVICES,"IGF::CL,CT::IGF",COOK,CHICAGO,IL,07,606031416,UNITED STATES,UNITED STATES,NOT COMPETED,FOLLOW-ON CONTRACT ,ONLY ONE SOURCE,NO SET ASIDE USED.,,FIXED PRICE AWARD FEE,PURCHASE ORDER,,602177024,CLARION ASSOCIATES INC,30 W MONROE ST STE 810,,CHICAGO,ILLINOIS,606032428,UNITED STATES,07,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,1,1,"$36,225.00","$36,225.00","$36,225.00"
05,0108,,1500,"JUSTICE, DEPARTMENT OF",1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),NO REGION IDENTIFIED,DJJ14WUSA540150,0,0,,03/28/2014,03/28/2014,03/28/2015,03/28/2015,,1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),B522,SPECIAL STUDIES/ANALYSIS- LEGAL,541199,ALL OTHER LEGAL SERVICES,IGF::OT::IGF,DISTRICT OF COLUMBIA,WASHINGTON,DC,00,200051710,UNITED STATES,UNITED STATES,NOT COMPETED,FOLLOW-ON CONTRACT ,ONLY ONE SOURCE,NO SET ASIDE USED.,,FIRM FIXED PRICE,PURCHASE ORDER,,830764036,MCGLADREY LLP,1501 M ST NW STE 340,,WASHINGTON,DISTRICT OF COLUMBIA,200051728,UNITED STATES,00,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,1,1,"$85,500.00","$85,500.00","$85,500.00"
05,0108,,1500,"JUSTICE, DEPARTMENT OF",1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),NO REGION IDENTIFIED,DJJ15XUSA540003,0,,,09/09/2014,10/01/2014,,,09/30/2015,1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),9905,"SIGNS, ADVERTISING DISPLAYS, AND IDENTIFICATION PLATES",339999,ALL OTHER MISCELLANEOUS MANUFACTURING,IGF::OT::IGF SPECIAL PLAQUE AWARDS,,,,,,,N/A,,,,,,ORDER DEPENDENT (IDV ALLOWS PRICING ARRANGEMENT TO BE DETERMINED SEPARATELY FOR EACH ORDER),BPA,,061936712,"CLASSIC MEDALLICS, INC.",520 S FULTON AVE,,MOUNT VERNON,NEW YORK,105505011,UNITED STATES,16,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SMALL BUSINESS,0,1,$0.00,$0.00,$0.00
05,0108,,1500,"JUSTICE, DEPARTMENT OF",1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),NO REGION IDENTIFIED,DJJ15XUSA540020,0,,,09/26/2014,10/01/2014,,,09/30/2015,1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,561622,LOCKSMITHS,IGF::OT::IGF SECURITY LOCK FOR DOORS,,,,,,,N/A,,,,,,FIRM FIXED PRICE,BPA,,103233847,GALAXY LOCK & ALARM CO INC,3633 E TREMONT AVE,,BRONX,NEW YORK,104652010,UNITED STATES,14,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,SMALL BUSINESS,0,1,$0.00,$0.00,$0.00
05,0108,,1500,"JUSTICE, DEPARTMENT OF",1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),NO REGION IDENTIFIED,DJJ15XUSA540002,0,,,09/09/2014,10/01/2014,,,09/30/2015,1501,"OFFICES, BOARDS AND DIVISIONS",USA54,U.S. ATTORNEYS OFFICE-NY(S),7690,MISCELLANEOUS PRINTED MATTER,323120,SUPPORT ACTIVITIES FOR PRINTING,IGF::OT::IGF BUSINESS CARDS,,,,,,,N/A,,,,,,FIRM FIXED PRICE,BPA,,007242498,"ENVISION, INC.",2301 S WATER ST,,WICHITA,KANSAS,672134819,UNITED STATES,04,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,0,1,$0.00,$0.00,$0.00
