"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAGtitle","IncludeInTOA","IncludeInTOA","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","010","010","111","Maneuver Units","Y","Y","U",2014,"Total",1096177,NA,NA,NA,NA
"2",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","020","020","112","Modular Support Brigades","Y","Y","U",2014,"Total",70090,NA,NA,NA,NA
"3",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","030","030","113","Echelons Above Brigade","Y","Y","U",2014,"Total",630745,NA,NA,NA,NA
"4",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","040","040","114","Theater Level Assets","Y","Y","U",2014,"Total",3753050,NA,NA,NA,NA
"5",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","050","050","115","Land Forces Operations Support","Y","Y","U",2014,"Total",1457649,NA,NA,NA,NA
"6",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces","060","060","116","Aviation Assets","Y","Y","U",2014,"Total",1255313,NA,NA,NA,NA
"7",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","070","070","121","Force Readiness Operations Support","Y","Y","U",2014,"Total",5185701,NA,NA,NA,NA
"8",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","080","080","122","Land Forces Systems Readiness","Y","Y","U",2014,"Total",1084099,NA,NA,NA,NA
"9",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness","090","090","123","Land Forces Depot Maintenance","Y","Y","U",2014,"Total",1644643,NA,NA,NA,NA
"10",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","100","100","131","Base Operations Support","Y","Y","U",2014,"Total",8546755,NA,NA,NA,NA
"11",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","110","110","132","Facilities Sustainment, Restoration & Modernization","Y","Y","U",2014,"Total",2852573,NA,NA,NA,NA
"12",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","120","120","133","Management and Operational Headquarters","Y","Y","U",2014,"Total",425125,NA,NA,NA,NA
"13",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","130","130","134","Combatant Commanders Core Operations","Y","Y","U",2014,"Total",172112,NA,NA,NA,NA
"14",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","140","140","135","Additional Activities","Y","Y","U",2014,"Total",9646946,NA,NA,NA,NA
"15",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","150","150","136","Commanders Emergency Response Program","Y","Y","U",2014,"Total",6532,NA,NA,NA,NA
"16",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","160","160","137","RESET","Y","Y","U",2014,"Total",2043342,NA,NA,NA,NA
"17",2016,"2020A","Operation & Maintenance, Army","ARMY","01","Operating Forces","Land Forces Readiness Support","170","170","138","Combatant Commands Direct Mission Support","Y","Y","U",2014,"Total",426321,NA,NA,NA,NA
"18",2016,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","180","180","211","Strategic Mobility","Y","Y","U",2014,"Total",422794,NA,NA,NA,NA
"19",2016,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","190","190","212","Army Prepositioned Stocks","Y","Y","U",2014,"Total",173643,NA,NA,NA,NA
"20",2016,"2020A","Operation & Maintenance, Army","ARMY","02","Mobilization","Mobility Operations","200","200","213","Industrial Preparedness","Y","Y","U",2014,"Total",7087,NA,NA,NA,NA
"21",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","210","210","311","Officer Acquisition","Y","Y","U",2014,"Total",126394,NA,NA,NA,NA
"22",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","220","220","312","Recruit Training","Y","Y","U",2014,"Total",48149,NA,NA,NA,NA
"23",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","230","230","313","One Station Unit Training","Y","Y","U",2014,"Total",42885,NA,NA,NA,NA
"24",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Accession Training","240","240","314","Senior Reserve Officers Training Corps","Y","Y","U",2014,"Total",480245,NA,NA,NA,NA
"25",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","250","250","321","Specialized Skill Training","Y","Y","U",2014,"Total",935348,NA,NA,NA,NA
"26",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","260","260","322","Flight Training","Y","Y","U",2014,"Total",923162,NA,NA,NA,NA
"27",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","270","270","323","Professional Development Education","Y","Y","U",2014,"Total",165207,NA,NA,NA,NA
"28",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Basic Skill and Advanced Training","280","280","324","Training Support","Y","Y","U",2014,"Total",647007,NA,NA,NA,NA
"29",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","290","290","331","Recruiting and Advertising","Y","Y","U",2014,"Total",520888,NA,NA,NA,NA
"30",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","300","300","332","Examining","Y","Y","U",2014,"Total",161418,NA,NA,NA,NA
"31",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","310","310","333","Off-Duty and Voluntary Education","Y","Y","U",2014,"Total",211227,NA,NA,NA,NA
"32",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","320","320","334","Civilian Education and Training","Y","Y","U",2014,"Total",132181,NA,NA,NA,NA
"33",2016,"2020A","Operation & Maintenance, Army","ARMY","03","Training and Recruiting","Recruiting, and Other Training & Education","330","330","335","Junior Reserve Officer Training Corps","Y","Y","U",2014,"Total",179806,NA,NA,NA,NA
"34",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","350","350","421","Servicewide Transportation","Y","Y","U",2014,"Total",3053881,NA,NA,NA,NA
"35",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","360","360","422","Central Supply Activities","Y","Y","U",2014,"Total",734619,NA,NA,NA,NA
"36",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","370","370","423","Logistic Support Activities","Y","Y","U",2014,"Total",625294,NA,NA,NA,NA
"37",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Logistics Operations","380","380","424","Ammunition Management","Y","Y","U",2014,"Total",427382,NA,NA,NA,NA
"38",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","390","390","431","Administration","Y","Y","U",2014,"Total",479720,NA,NA,NA,NA
"39",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","400","400","432","Servicewide Communications","Y","Y","U",2014,"Total",1663178,NA,NA,NA,NA
"40",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","410","410","433","Manpower Management","Y","Y","U",2014,"Total",282905,NA,NA,NA,NA
"41",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","420","420","434","Other Personnel Support","Y","Y","U",2014,"Total",383359,NA,NA,NA,NA
"42",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","430","430","435","Other Service Support","Y","Y","U",2014,"Total",1166570,NA,NA,NA,NA
"43",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","440","440","436","Army Claims Activities","Y","Y","U",2014,"Total",214887,NA,NA,NA,NA
"44",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","450","450","437","Real Estate Management","Y","Y","U",2014,"Total",444790,NA,NA,NA,NA
"45",2016,"2020A","Operation & Maintenance, Army","ARMY","04","Admin & Srvwide Activities","Servicewide Support","460","460","438","Financial Management and Audit Readiness","Y","Y","U",2014,"Total",226152,NA,NA,NA,NA
