"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","BSA","BSAtitle","LineNumber","LineItem","LineItemTitle","CostType","CostTypeTitle","LineNumber","AddOrNonAdd","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedTotalQuantity","EnactedType","PBtotal","PBtype","QuantActualTotal","QuantEnactedType","QuantPBtotal","QuantPBtype"
"1",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","1  ","1301A11301","Saturn Arch (MIP)","A","Weapon System Cost","1  ","Add","U",2014,"Total",64000,NA,NA,NA,NA,NA,0,NA,NA,NA
"2",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","2  ","9440A11300","Utility F/W Aircraft","A","Weapon System Cost","2  ","Add","U",2014,"Total",18052,NA,NA,NA,NA,NA,2,NA,NA,NA
"3",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","3  ","9662A02005","Aerial Common Sensor (ACS) (MIP)","A","Weapon System Cost","3  ","Add","U",2014,"Total",54700,NA,NA,NA,NA,NA,4,NA,NA,NA
"4",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","4  ","9670A00005","MQ-1 UAV","A","Weapon System Cost","4  ","Add","U",2014,"Total",500547,NA,NA,NA,NA,NA,15,NA,NA,NA
"5",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","10","Fixed Wing","5  ","9675A00010","RQ-11 (RAVEN)","A","Weapon System Cost","5  ","Add","U",2014,"Total",10372,NA,NA,NA,NA,NA,0,NA,NA,NA
"6",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","6  ","4742A05001","Helicopter, Light Utility (LUH)","A","Weapon System Cost","6  ","Add","U",2014,"Total",256434,NA,NA,NA,NA,NA,37,NA,NA,NA
"7",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","A","Weapon System Cost","7  ","Add","U",2014,"Total",715511,NA,NA,NA,NA,NA,42,NA,NA,NA
"8",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","7  ","5757A05111","AH-64 Apache Block IIIA Reman","B","Less: Advance Procurement (PY)","7  ","Add","U",2014,"Total",-113842,NA,NA,NA,NA,NA,0,NA,NA,NA
"9",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","8  ","5757A05111","AH-64 Apache Block IIIA Reman","C","Advance Procurement (CY)","8  ","Add","U",2014,"Total",150931,NA,NA,NA,NA,NA,0,NA,NA,NA
"10",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5840A05133","AH-64 Apache Block IIIB New Build","A","Weapon System Cost","9  ","Add","U",2014,"Total",298999,NA,NA,NA,NA,NA,4,NA,NA,NA
"11",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","9  ","5840A05133","AH-64 Apache Block IIIB New Build","B","Less: Advance Procurement (PY)","9  ","Add","U",2014,"Total",-156999,NA,NA,NA,NA,NA,0,NA,NA,NA
"12",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","10 ","6337A02345","Kiowa Warrior WRA","A","Weapon System Cost","10 ","Add","U",2014,"Total",0,NA,NA,NA,NA,NA,9,NA,NA,NA
"13",2016,"2031A","Aircraft Procurement, Army","ARMY","01","Aircraft","20","Rotary","11 ","6771AA0005","UH-60 Blackhawk M Model (MYP)","A","Weapon System Cost","11 ","Add","U",2014,"Total",1212916,NA,NA,NA,NA,NA,70,NA,NA,NA
