"","SourceFiscalYear","AccountDSI","AccountTitle","Organization","BudgetActivity","BudgetActivityTitle","AGtitle","LineNumber","LineNumber","SAG","SAGtitle","Classified","FiscalYear","OriginType","ActualTotal","EnactedTotal","EnactedType","PBtotal","PBtype"
"1",2016,"493001A","Working Capital Fund, Army","ARMY","01","Working Capital Fund","Army Arsenals Initiative","010","010","100","Industrial Operations","U",2014,"Total",150000,NA,NA,NA,NA
"2",2016,"493001A","Working Capital Fund, Army","ARMY","04","Supply Management - Army","Army Supply Management","020","020","400","Supply Management - Army","U",2014,"Total",78646,NA,NA,NA,NA
"3",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","010","010","0100","LMSR","U",2014,"Total",9724,NA,NA,NA,NA
"4",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","020","020","0120","T-AKE","U",2014,"Total",86,NA,NA,NA,NA
"5",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","030","030","0401","MPF MLP","U",2014,"Total",186231,NA,NA,NA,NA
"6",2016,"4557N","National Defense Sealift Fund","NAVY","01","Construction And Conversion","Strategic Sealift Acquisition","040","040","5000","Post Delivery and Outfitting","U",2014,"Total",30080,NA,NA,NA,NA
"7",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","050","050","0200","National Def Sealift Vessel","U",2014,"Total",25881,NA,NA,NA,NA
"8",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","060","060","0220","LG Med Spd Ro/Ro Maintenance","U",2014,"Total",97816,NA,NA,NA,NA
"9",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","070","070","0230","DoD Mobilization Alterations","U",2014,"Total",60703,NA,NA,NA,NA
"10",2016,"4557N","National Defense Sealift Fund","NAVY","02","Operations, Maintenance And Lease","Mobilization Preparedness","080","080","0250","TAH Maintenance","U",2014,"Total",19809,NA,NA,NA,NA
"11",2016,"4557N","National Defense Sealift Fund","NAVY","04","Research and Development","Research And Development","090","090","0900","Research And Development","U",2014,"Total",31072,NA,NA,NA,NA
"12",2016,"4557N","National Defense Sealift Fund","NAVY","05","Ready Reserve Forces","Ready Reserve and Prepositioning Force","100","100","0500","Ready Reserve Force","U",2014,"Total",300014,NA,NA,NA,NA
"13",2016,"493003F","Working Capital Fund, Air Force","AF","20","Undistributed","Working Capital Fund","010","010","110","Supplies and Materials","U",2014,"Total",133719,NA,NA,NA,NA
"14",2016,"493003F","Working Capital Fund, Air Force","AF","20","Undistributed","Working Capital Fund","020","020","ES17","Transportation of Fallen Heroes","U",2014,"Total",10000,NA,NA,NA,NA
"15",2016,"493005D","Working Capital Fund, Defense-Wide","DLA","06","Energy Management - Defense","Working Capital Fund Support","010","010","010","Energy Management - Def","U",2014,"Total",84978,NA,NA,NA,NA
